Date_reported,Country_code,Country,New_deaths
2020-01-03,AF,Afghanistan,0
2020-01-04,AF,Afghanistan,0
2020-01-05,AF,Afghanistan,0
2020-01-06,AF,Afghanistan,0
2020-01-07,AF,Afghanistan,0
2020-01-08,AF,Afghanistan,0
2020-01-09,AF,Afghanistan,0
2020-01-10,AF,Afghanistan,0
2020-01-11,AF,Afghanistan,0
2020-01-12,AF,Afghanistan,0
2020-01-13,AF,Afghanistan,0
2020-01-14,AF,Afghanistan,0
2020-01-15,AF,Afghanistan,0
2020-01-16,AF,Afghanistan,0
2020-01-17,AF,Afghanistan,0
2020-01-18,AF,Afghanistan,0
2020-01-19,AF,Afghanistan,0
2020-01-20,AF,Afghanistan,0
2020-01-21,AF,Afghanistan,0
2020-01-22,AF,Afghanistan,0
2020-01-23,AF,Afghanistan,0
2020-01-24,AF,Afghanistan,0
2020-01-25,AF,Afghanistan,0
2020-01-26,AF,Afghanistan,0
2020-01-27,AF,Afghanistan,0
2020-01-28,AF,Afghanistan,0
2020-01-29,AF,Afghanistan,0
2020-01-30,AF,Afghanistan,0
2020-01-31,AF,Afghanistan,0
2020-02-01,AF,Afghanistan,0
2020-02-02,AF,Afghanistan,0
2020-02-03,AF,Afghanistan,0
2020-02-04,AF,Afghanistan,0
2020-02-05,AF,Afghanistan,0
2020-02-06,AF,Afghanistan,0
2020-02-07,AF,Afghanistan,0
2020-02-08,AF,Afghanistan,0
2020-02-09,AF,Afghanistan,0
2020-02-10,AF,Afghanistan,0
2020-02-11,AF,Afghanistan,0
2020-02-12,AF,Afghanistan,0
2020-02-13,AF,Afghanistan,0
2020-02-14,AF,Afghanistan,0
2020-02-15,AF,Afghanistan,0
2020-02-16,AF,Afghanistan,0
2020-02-17,AF,Afghanistan,0
2020-02-18,AF,Afghanistan,0
2020-02-19,AF,Afghanistan,0
2020-02-20,AF,Afghanistan,0
2020-02-21,AF,Afghanistan,0
2020-02-22,AF,Afghanistan,0
2020-02-23,AF,Afghanistan,0
2020-02-24,AF,Afghanistan,0
2020-02-25,AF,Afghanistan,0
2020-02-26,AF,Afghanistan,0
2020-02-27,AF,Afghanistan,0
2020-02-28,AF,Afghanistan,0
2020-02-29,AF,Afghanistan,0
2020-03-01,AF,Afghanistan,0
2020-03-02,AF,Afghanistan,0
2020-03-03,AF,Afghanistan,0
2020-03-04,AF,Afghanistan,0
2020-03-05,AF,Afghanistan,0
2020-03-06,AF,Afghanistan,0
2020-03-07,AF,Afghanistan,0
2020-03-08,AF,Afghanistan,0
2020-03-09,AF,Afghanistan,0
2020-03-10,AF,Afghanistan,0
2020-03-11,AF,Afghanistan,0
2020-03-12,AF,Afghanistan,0
2020-03-13,AF,Afghanistan,0
2020-03-14,AF,Afghanistan,0
2020-03-15,AF,Afghanistan,0
2020-03-16,AF,Afghanistan,0
2020-03-17,AF,Afghanistan,0
2020-03-18,AF,Afghanistan,0
2020-03-19,AF,Afghanistan,0
2020-03-20,AF,Afghanistan,0
2020-03-21,AF,Afghanistan,0
2020-03-22,AF,Afghanistan,0
2020-03-23,AF,Afghanistan,1
2020-03-24,AF,Afghanistan,0
2020-03-25,AF,Afghanistan,0
2020-03-26,AF,Afghanistan,1
2020-03-27,AF,Afghanistan,0
2020-03-28,AF,Afghanistan,0
2020-03-29,AF,Afghanistan,2
2020-03-30,AF,Afghanistan,0
2020-03-31,AF,Afghanistan,0
2020-04-01,AF,Afghanistan,0
2020-04-02,AF,Afghanistan,0
2020-04-03,AF,Afghanistan,1
2020-04-04,AF,Afghanistan,0
2020-04-05,AF,Afghanistan,2
2020-04-06,AF,Afghanistan,0
2020-04-07,AF,Afghanistan,4
2020-04-08,AF,Afghanistan,3
2020-04-09,AF,Afghanistan,1
2020-04-10,AF,Afghanistan,0
2020-04-11,AF,Afghanistan,0
2020-04-12,AF,Afghanistan,3
2020-04-13,AF,Afghanistan,1
2020-04-14,AF,Afghanistan,3
2020-04-15,AF,Afghanistan,3
2020-04-16,AF,Afghanistan,4
2020-04-17,AF,Afghanistan,1
2020-04-18,AF,Afghanistan,0
2020-04-19,AF,Afghanistan,0
2020-04-20,AF,Afghanistan,3
2020-04-21,AF,Afghanistan,3
2020-04-22,AF,Afghanistan,0
2020-04-23,AF,Afghanistan,4
2020-04-24,AF,Afghanistan,0
2020-04-25,AF,Afghanistan,3
2020-04-26,AF,Afghanistan,6
2020-04-27,AF,Afghanistan,1
2020-04-28,AF,Afghanistan,10
2020-04-29,AF,Afghanistan,0
2020-04-30,AF,Afghanistan,0
2020-05-01,AF,Afghanistan,4
2020-05-02,AF,Afghanistan,8
2020-05-03,AF,Afghanistan,0
2020-05-04,AF,Afghanistan,0
2020-05-05,AF,Afghanistan,0
2020-05-06,AF,Afghanistan,23
2020-05-07,AF,Afghanistan,9
2020-05-08,AF,Afghanistan,1
2020-05-09,AF,Afghanistan,0
2020-05-10,AF,Afghanistan,14
2020-05-11,AF,Afghanistan,1
2020-05-12,AF,Afghanistan,7
2020-05-13,AF,Afghanistan,0
2020-05-14,AF,Afghanistan,9
2020-05-15,AF,Afghanistan,17
2020-05-16,AF,Afghanistan,15
2020-05-17,AF,Afghanistan,1
2020-05-18,AF,Afghanistan,4
2020-05-19,AF,Afghanistan,4
2020-05-20,AF,Afghanistan,10
2020-05-21,AF,Afghanistan,6
2020-05-22,AF,Afghanistan,12
2020-05-23,AF,Afghanistan,10
2020-05-24,AF,Afghanistan,7
2020-05-25,AF,Afghanistan,1
2020-05-26,AF,Afghanistan,1
2020-05-27,AF,Afghanistan,6
2020-05-28,AF,Afghanistan,9
2020-05-29,AF,Afghanistan,11
2020-05-30,AF,Afghanistan,2
2020-05-31,AF,Afghanistan,2
2020-06-01,AF,Afghanistan,15
2020-06-02,AF,Afghanistan,5
2020-06-03,AF,Afghanistan,24
2020-06-04,AF,Afghanistan,5
2020-06-05,AF,Afghanistan,10
2020-06-06,AF,Afghanistan,18
2020-06-07,AF,Afghanistan,30
2020-06-08,AF,Afghanistan,12
2020-06-09,AF,Afghanistan,7
2020-06-10,AF,Afghanistan,29
2020-06-11,AF,Afghanistan,21
2020-06-12,AF,Afghanistan,20
2020-06-13,AF,Afghanistan,5
2020-06-14,AF,Afghanistan,20
2020-06-15,AF,Afghanistan,5
